fecha,municipio,pm10,pm25,o3,precipitacion,humedadrelativa,temperatura,dia_semana
2015-12-04 00:00:00,380,57.6995352744222,55.4,,0.1,73.6,20,5
2015-12-04 00:00:00,631,52,,,0.1,73.6,20,5
2015-12-03 00:00:00,1,93.1842481303669,38.2299182142466,90.5629914494639,0,50,26.6,4
2015-12-03 00:00:00,79,22,,57.7377125,0,78,20.4,4
2015-12-03 00:00:00,88,60.0794366888598,,55.3278625,0,78,20.4,4
2015-12-03 00:00:00,129,59.313989135324,25.3,131.5573875,0,61.8,20.7,4
2015-12-03 00:00:00,212,30,,,0,78,20.4,4
2015-12-03 00:00:00,266,,,,0,61.8,20.7,4
2015-12-03 00:00:00,308,55,27.5,31.13115,0,78,20.4,4
2015-12-03 00:00:00,360,63.1203978840754,30.6241196229043,108.9344,0,61.8,20.7,4
2015-12-03 00:00:00,380,53.2949625914011,53.2,,0,61.8,20.7,4
2015-12-03 00:00:00,631,52,,,0,61.8,20.7,4
2015-12-02 00:00:00,1,70.9705965354369,31.326431210357,72.888902052397,0,49,25.8,3
2015-12-02 00:00:00,79,22,,76.9672125,0,64.8,23,3
2015-12-02 00:00:00,88,41.7122096312235,,64.672125,0,64.8,23,3
2015-12-02 00:00:00,129,61.1957557428514,30.9,87.5409875,0,58,21.8,3
2015-12-02 00:00:00,212,29,,,0,64.8,23,3
2015-12-02 00:00:00,266,,,,0,58,21.8,3
2015-12-02 00:00:00,308,54,25.1,57.3442625,0,64.8,23,3
2015-12-02 00:00:00,360,69.4374356773724,26.7195917279555,62.7049375,0,58,21.8,3
2015-12-02 00:00:00,380,48.4821185626108,49,,0,58,21.8,3
2015-12-02 00:00:00,631,51,,,0,58,21.8,3
2015-12-01 00:00:00,1,74.4417584016028,32.8495538078905,56.7257196542725,2,71,22.7,2
2015-12-01 00:00:00,79,22,,34.1732857142857,0,70.8797304134694,22.4224090558618,2
2015-12-01 00:00:00,88,42.9072185655578,,56.557375,0,70.8797304134694,22.4224090558618,2
2015-12-01 00:00:00,129,71.5810159232489,32.9,66.8852571428571,0,68.7,21.3,2
2015-12-01 00:00:00,212,29.67,,,0,70.8797304134694,22.4224090558618,2
